TYPE,AGE,RACE,FAMSIZE,HISTORIC,START_YEAR,END_YEAR,REHABTOTAL,FY_COMPLT,PARCEL_ID
RENTAL,49,11 - WHITE,0,0,04/09,10/09,375,FY10,302
RENTAL,66,11 - WHITE,0,1,06/09,12/09,375,FY10,232
SF,60,11 - WHITE,1,0,06/09,07/09,22464.83984375,FY10,1035
SF,50,12 - BLACK/AFRICAN AMER,1,0,01/09,07/09,25099,FY10,154
RENTAL,29,11 - WHITE,,1,10/08,07/09,17200,FY10,228
SF,34,11 - WHITE,1,0,07/09,08/09,0,FY10,199
SF,60,11 - WHITE,3,0,09/09,09/09,0,FY10,821
SF,37,11 - WHITE,3,0,04/08,06/08,25548,FY08,721
SF,34,4 HISPANIC,3,0,9/98,11/98,0,FY99,987
SF,39,20 - OTHER MULTI-RACIAL,1,0,03/14,06/14,4494,FY14,941
SF,26,12 - BLACK/AFRICAN AMER,1,0,10/09,11/09,0,FY10,176
RENTAL,61,11 - WHITE,0,1,05/09,11/09,6960,FY10,206
SF,40,11 - WHITE,1,0,11/09,12/09,0,FY10,1051
SF,43,11 - WHITE,1,0,07/09,11/09,5880,FY10,789
RENTAL,39,20 - OTHER MULTI-RACIAL,0,0,01/08,03/08,6360,FY08,286
RENTAL,46,11 - WHITE,0,1,02/08,05/08,17345,FY08,494
SF,59,14 - AMER INDIAN,1,0,06/13,07/13,7310,FY14,607
RENTAL,39,11 - WHITE,0,1,05/08,11/08,11466,FY09,582
RENTAL,53,11 - WHITE,,0,07/11,06/12,26679,FY12,293
RENTAL,62,17 - ASIAN & WHITE,,1,03/11,06/12,191703,FY12,197
RENTAL,40,11 - WHITE,,0,01/08,04/08,8000,FY08,94
RENTAL,24,11 - WHITE,,0,08/12,11/12,355,FY13,372
RENTAL,51,11 - WHITE,,0,05/12,11/12,3795,FY13,752
RENTAL,52,11 - WHITE,,0,05/12,11/12,20850,FY13,609
RENTAL,32,11 - WHITE,,1,04/12,11/12,27261,FY13,214
RENTAL,,11 - WHITE,,0,04/10,06/10,8375,FY10,505
SF,38,12 - BLACK/AFRICAN AMER,4,0,04/10,04/10,0,FY10,11
SF,30,11 - WHITE,5,0,12/08,02/09,0,FY09,995
SF,47,11 - WHITE,3,0,06/09,10/09,13584,FY11,749
SF,59,11 - WHITE,1,0,11/09,06/10,26067,FY10,400
RENTAL,54,11 - WHITE,,0,01/13,09/13,11820,FY14,295
RENTAL,64,11 - WHITE,,0,04/10,07/10,1315,FY11,663
RENTAL,70,11 - WHITE,,0,10/12,09/13,25371,FY14,281
SF,,12 - BLACK/AFRICAN AMER,3,0,04/10,04/10,0,FY10,35
SF,,0 - NON-PROFIT,0,0,12/13,10/14,127767.7578125,FY15,875
SF,36,11 - WHITE,5,0,07/09,10/09,375,FY10,171
RENTAL,49,12 - BLACK/AFRICAN AMER,0,1,05/09,10/09,9620,FY10,165
SF,33,11 - WHITE,4,0,05/09,10/09,24880,FY10,54
RENTAL,53,12 - BLACK/AFRICAN AMER,,1,05/12,11/12,29115,FY13,227
SF,26,12 - BLACK/AFRICAN AMER,3,0,10/12,11/12,0,FY13,900
RENTAL,52,11 - WHITE,,0,08/12,11/12,8145,FY13,415
SF,20,20 - OTHER MULTI-RACIAL,2,0,09/12,11/12,0,FY13,677
SF,22,11 - WHITE,4,0,09/12,11/12,0,FY13,736
SF,55,12 - BLACK/AFRICAN AMER,2,0,12/12,12/12,0,FY13,1020
RENTAL,56,11 - WHITE,,0,05/12,12/12,5695,FY13,947
SF,56,12 - BLACK/AFRICAN AMER,1,0,05/13,10/13,3224,FY14,818
F,31,11 - WHITE,6,0,06/08,08/08,27180,FY09,739
SF,,0 - NON-PROFIT,,0,02/12,12/12,55000,FY14,570
RENTAL,52,12 - BLACK/AFRICAN AMER,,0,05/12,06/12,355,FY12,211
RENTAL,44,11 - WHITE,,0,05/12,09/12,7875,FY13,144
SF,31,11 - WHITE,4,0,03/10,03/10,0,FY10,311
SF,32,11 - WHITE,2,0,04/10,04/10,0,FY10,860
RENTAL,50,11 - WHITE,,0,04/09,04/10,1975,FY10,302
SF,54,11 - WHITE,1,0,02/09,03/10,24180,FY10,863
SF,,20 - OTHER MULTI-RACIAL,3,0,12/08,08/09,93050.0078125,FY10,249
SS,31,11 - WHITE,1,0,07/09,08/09,0,FY10,189
SF,6,11 - WHITE,1,0,03/12,04/12,0,FY12,1008
RENTAL,,11 - WHITE,0,0,05/08,06/08,375,FY08,502
RENTAL,,11 - WHITE,0,1,05/08,06/08,750,FY08,219
SF,53,12 - BLACK/AFRICAN AMER,1,0,05/12,06/12,0,FY12,1043
SF,26,11 - WHITE,2,0,01/08,01/08,0,FY08,773
SF,32,11 - WHITE,4,1,04/08,11/08,23970,FY09,328
SF,27,12 - BLACK/AFRICAN AMER,2,0,02/08,12/08,29316,FY09,810
SF,33,11 - WHITE,1,0,02/13,03/13,0,FY13,14
RENTAL,50,13 - ASIAN,,1,07/12,03/13,12750,FY13,349
SF,21,12 - BLACK/AFRICAN AMER,1,0,04/09,04/09,0,FY09,67
RENTAL,52,11 - WHITE,,1,06/12,04/13,24746,FY13,583
SF,63,20 - OTHER MULTI-RACIAL,7,0,06/13,09/13,0,FY14,909
SF,66,11 - WHITE,1,0,06/13,06/14,41120,FY14,712
RENTAL,75,11 - WHITE,,0,05/14,08/14,11940,FY15,476
RENTAL,52,11 - WHITE,,0,07/12,10/12,355,FY13,485
RENTAL,52,11 - WHITE,,0,05/12,10/12,22905,FY13,573
SF,43,11 - WHITE,6,0,09/12,10/12,0,FY13,159
RENTAL,33,11 - WHITE,0,0,05/09,08/09,375,FY10,725
SF,31,12 - BLACK/AFRICAN AMER,5,0,03/11,03/11,2039,FY11,1029
RENTAL,40,11 - WHITE,0,1,02/08,09/08,22748,FY09,233
SF,0,0 - NON-PROFIT,0,1,12/07,08/09,135490,FY10,199
RENTAL,50,11 - WHITE,,1,08/13,06/14,28730,FY14,222
SF,,NONE,,0,05/08,06/08,375,FY08,757
RENTAL,,11 - WHITE,,0,05/08,08/10,1800,FY11,668
SF,36,11 - WHITE,2,0,04/08,10/08,19060,FY09,999
SF,75,12 - BLACK/AFRICAN AMER,3,0,08/14,08/14,0,FY15,918
SF,0,0 - NON-PROFIT,,0,12/13,08/14,122505.9765625,FY15,918
SF,56,11 - WHITE,2,0,3/09,4/09,2635,FY09,58
RENTAL,52,11 - WHITE,,1,05/12,11/12,16840,FY13,564
RENTAL,54,12 - BLACK/AFRICAN AMER,,1,10/13,08/14,15595,FY15,378
RENTAL,54,11 - WHITE,,0,07/14,08/14,475,FY15,877
RENTAL,54,11 - WHITE,,0,02/14,07/14,4150,FY15,608
SF,,0 - NON-PROFIT,,0,02/12,02/13,236077.515625,FY13,916
RENTAL,35,11 - WHITE,,1,12/12,03/13,355,FY13,579
SF,56,12 - BLACK/AFRICAN AMER,1,0,06/12,06/12,0,FY12,7
RENTAL,35,11 - WHITE,,1,05/11,08/12,12740,FY13,437
SF,23,11 - WHITE,1,0,07/12,08/12,0,FY13,829
RENTAL,51,11 - WHITE,,0,02/12,07/12,7990,FY13,92
RENTAL,69,11 - WHITE,,0,03/12,07/12,9615,FY13,680
RENTAL,45,11 - WHITE,,0,03/12,07/12,11770,FY13,262
RENTAL,51,11 - WHITE,,0,05/12,08/12,3770,FY13,292
RENTAL,52,11 - WHITE,,1,04/12,08/12,355,FY13,384
SF,0,0 - NON-PROFIT,,0,01/12,10/12,84583.6015625,FY13,159
RENTAL,70,11 - WHITE,,0,03/12,08/12,355,FY13,702
SF,34,11 - WHITE,1,0,05/08,09/08,22345,FY09,1064
SF,63,11 - WHITE,1,0,08/08,10/08,5948,FY09,619
SF,30,11 - WHITE,0,0,05/08,09/08,9295,FY09,965
SF,29,11 - WHITE,1,0,02/12,03/12,0,FY12,704
SF,67,12 - BLACK/AFRICAN AMER,1,0,07/07,08/07,36769,FY07,927
SF,20,11 - WHITE,2,0,05/12,06/12,0,FY12,592
SF,39,12 - BLACK/AFRICAN AMER,3,0,07/10,10/10,0,FY11,873
RENTAL,,11 - WHITE,,0,04/10,07/10,1315,FY11,663
OTHER,0,11 - WHITE,,0,07/09,07/10,0,FY11,589
SF,53,11 - WHITE,1,0,05/12,06/12,0,FY12,89
SF,,0 - NON-PROFIT,,0,05/11,06/12,50000,FY12,1056
RENTAL,37,11 - WHITE,6,0,02/08,04/08,22775,FY08,253
SF,26,11 - WHITE,2,0,02/08,03/08,6295,FY08,905
SF,30,11 - WHITE,2,0,02/08,04/08,3980,FY08,117
SF,80,11 - WHITE,1,0,05/08,09/08,11313.2001953125,FY09,937
SF,43,11 - WHITE,3,0,11/07,06/08,33587,FY08,896
SF,31,20 - OTHER MULTI-RACIAL,5,0,12/07,06/08,24721,FY08,267
SF,24,12 - BLACK/AFRICAN AMER,1,0,02/10,03/10,0,FY10,884
RENTAL,51,11 - WHITE,0,1,05/08,05/09,22687,FY09,433
RENTAL,61,11 - WHITE,0,0,05/08,06/08,375,FY08,678
RENTAL,53,11 - WHITE,,0,06/12,05/13,10750,FY13,296
RENTAL,30,11 - WHITE,,1,05/09,04/10,29696,FY10,473
SF,0,0 - NON-PROFIT,,0,10/12,09/13,65071.58984375,FY14,909
SF,50,13 - ASIAN,4,0,10/13,10/13,0,FY14,138
RENTAL,60,11 - WHITE,,0,03/12,09/12,16261,FY13,612
SF,33,11 - WHITE,3,0,08/09,09/09,0,FY10,70
SF,68,11 - WHITE,1,0,05/10,07/10,16400,FY11,754
SF,33,14 - AMER INDIAN,2,0,12/09,06/10,25440,FY10,56
SF,37,11 - WHITE,3,0,06/10,06/10,0,FY10,989
SF,26,11 - WHITE,2,0,06/10,06/10,0,FY10,84
SF,45,20 - OTHER MULTI-RACIAL,1,1,12/07,09/08,52548,FY09,342
SF,24,11 - WHITE,1,0,07/08,09/08,5618,FY09,305
SF,0,0 - NON-PROFIT,0,0,01/08,04/08,325,FY09,507
SF,48,11 - WHITE,3,0,04/10,06/10,4045,FY10,31
RENTAL,50,12 - BLACK/AFRICAN AMER,0,1,07/09,06/10,17510,FY10,220
RENTAL,50,12 - BLACK/AFRICAN AMER,0,1,06/09,06/10,17225,FY10,470
SF,77,12 - BLACK/AFRICAN AMER,2,0,12/09,06/10,24705,FY10,714
RENTAL,0,0 - NON-PROFIT,0,0,08/09,09/09,375,FY10,825
RENTAL,40,11 - WHITE,,0,06/14,10/14,12785,FY15,389
SF,,0 - NON-PROFIT,,0,05/14,11/14,50483.01953125,FY15,981
SF,27,11 - WHITE,6,0,08/14,11/14,0,FY15,981
SF,0,0 - NON-PROFIT,,0,07/14,11/14,70000,FY15,982
SF,46,12 - BLACK/AFRICAN AMER,12,0,06/14,11/14,0,FY15,982
SF,56,11 - WHITE,,0,08/14,11/14,11540,FY14,462
SF,55,11 - WHITE,,0,05/14,11/14,12460,FY14,734
SF,,0 - NON-PROFIT,,0,02/14,12/14,97733,FY15,83
SF,29,11 - WHITE,5,0,05/15,07/15,17702,FY16,480
SF,0,0 - NON-PROFIT,0,0,10/09,12/09,103262.9765625,FY10,42
SF,52,11 - WHITE,1,0,10/14,10/14,0,FY15,875
SF,0,0 - NON-PROFIT,,0,08/14,09/15,170407,FY16,261
SF,44,11 - WHITE,1,0,09/15,09/15,0,FY16,261
SF,28,11 - WHITE,1,0,10/15,11/15,0,FY16,1030
SF,26,11 - WHITE,1,0,10/15,11/15,0,FY16,553
SF,26,11 - WHITE,1,0,05/15,11/15,11645,FY16,526
RENTAL,59,11 - WHITE,,0,12/13,03/14,5685,FY14,601
SF,62,11 - WHITE,1,0,11/09,11/09,0,FY10,675
RENTAL,,11 - WHITE,,1,06/09,06/10,18111,FY10,200
SF,27,11 - WHITE,1,0,10/09,08/10,26395,FY11,699
RENTAL,0,11 - WHITE,,0,04/10,05/10,700,FY10,1022
RENTAL,40,11 - WHITE,,1,12/08,07/10,62349,FY11,237
RENTAL,,11 - WHITE,,1,07/09,03/10,11025,FY10,240
SF,39,11 - WHITE,2,0,12/09,08/10,37320,FY11,627
RENTAL,50,12 - BLACK/AFRICAN AMER,,1,07/09,04/10,11960,FY10,185
SF,40,18 - BLACK/AF AM & WHITE,1,0,04/10,06/10,0,FY10,1019
SF,73,12 - BLACK/AFRICAN AMER,2,0,12/09,05/10,7205,FY10,134
SF,62,11 - WHITE,1,0,11/09,05/10,41368,FY10,547
SF,,11 - WHITE,,0,02/11,08/11,9340,FY12,488
RENTAL,50,12 - BLACK/AFRICAN AMER,,1,07/09,05/10,17270,FY10,459
SF,34,11 - WHITE,3,1,10/08,07/09,27098,FY10,556
SF,73,11 - WHITE,1,1,01/08,07/09,41877,FY10,340
SF,62,11 - WHITE,1,0,05/08,06/09,34061,FY09,975
SF,69,11 - WHITE,1,0,06/09,07/09,7840,FY10,569
SF,25,15 - HAWAIIAN OR PAC ISL,1,0,07/09,08/09,0,FY10,957
SF,57,12 - BLACK/AFRICAN AMER,2,0,02/08,04/08,1825,FY08,836
SF,,11 - WHITE,2,0,09/11,09/11,0,FY12,1047
SF,30,11 - WHITE,1,0,09/11,10/11,0,FY12,316
SF,29,12 - BLACK/AFRICAN AMER,5,0,09/11,10/11,0,FY12,785
SF,79,11 - WHITE,1,0,10/11,12/11,6955,FY12,246
SF,68,11 - WHITE,2,0,05/11,12/11,13660,FY12,1016
SF,52,11 - WHITE,1,0,05/08,07/08,5620,FY09,324
SF,34,11 - WHITE,5,0,05/08,06/08,375,FY08,802
RENTAL,,11 - WHITE,,0,08/08,04/09,13925,FY09,290
SF,27,11 - WHITE,3,0,04/12,05/12,0,FY12,771
RENTAL,55,11 - WHITE,,0,02/14,05/14,4315,FY14,90
RENTAL,39,11 - WHITE,,0,02/14,06/14,475,FY14,656
RENTAL,52,11 - WHITE,,0,06/12,02/13,6680,FY13,174
RENTAL,53,11 - WHITE,,0,09/12,03/13,355,FY13,397
RENTAL,61,11 - WHITE,,0,11/12,03/13,355,FY13,737
SF,51,20 - OTHER MULTI-RACIAL,2,0,06/12,06/12,0,FY12,660
SF,66,11 - WHITE,3,0,06/08,07/08,5810,FY09,990
RENTAL,45,11 - WHITE,,0,09/11,02/12,8154,FY12,694
SF,53,12 - BLACK/AFRICAN AMER,6,0,09/13,06/14,25102,FY14,827
SF,65,12 - BLACK/AFRICAN AMER,1,0,07/13,06/14,22870,FY14,926
RENTAL,51,13 - ASIAN,,0,12/12,06/13,1235,FY13,844
RENTAL,67,12 - BLACK/AFRICAN AMER,,0,05/12,05/13,33581,FY13,684
SF,25,20 - OTHER MULTI-RACIAL,3,0,04/13,05/13,0,FY13,1034
RENTAL,68,11 - WHITE,,0,09/13,05/13,13805,FY13,280
RENTAL,54,12 - BLACK/AFRICAN AMER,,1,10/12,05/13,19123,FY13,213
SF,42,11 - WHITE,1,0,10/08,05/09,30595,FY09,62
SF,26,11 - WHITE,1,0,08/10,09/10,0,FY11,483
SF,,11 - WHITE,4,0,03/14,03/14,0,FY14,170
SF,20,20 - OTHER MULTI-RACIAL,2,0,02/14,03/14,0,FY14,711
SF,51,11 - WHITE,2,0,06/11,08/11,0,FY12,591
SF,65,11 - WHITE,2,0,02/14,03/14,0,FY14,1054
SF,32,12 - BLACK/AFRICAN AMER,4,0,05/09,05/09,0,FY09,22
SF,52,11 - WHITE,1,0,03/09,09/09,27301,FY10,157
RENTAL,36,11 - WHITE,0,0,09/08,06/09,14965,FY09,458
SF,26,11 - WHITE,2,0,11/08,08/09,35055,FY10,696
RENTAL,57,12 - BLACK/AFRICAN AMER,0,0,03/09,09/09,18401,FY10,155
SF,56,11 - WHITE,4,0,04/09,11/09,12804,FY10,401
RENTAL,44,11 - WHITE,0,0,09/09,11/08,7385,FY09,61
SF,45,11 - WHITE,1,0,12/14,12/14,0,FY15,783
SF,64,11 - WHITE,1,0,08/12,11/12,10058,FY13,852
SF,0,0 - NON-PROFIT,,0,04/11,02/12,698,FY12,593
SF,20,12 - BLACK/AFRICAN AMER,1,0,02/08,03/08,0,FY08,1052
RENTAL,48,11 - WHITE,0,0,03/08,04/08,8605,FY08,796
SF,29,11 - WHITE,3,0,08/09,09/09,0,FY10,65
SF,23,11 - WHITE,4,0,04/08,04/08,0,FY08,68
SF,36,12 - BLACK/AFRICAN AMER,2,0,06/13,08/13,2800,FY14,949
SF,29,11 - WHITE,3,0,08/13,09/13,0,FY14,992
SF,29,11 - WHITE,4,0,08/13,09/13,0,FY14,940
SF,0,0 - NON-PROFIT,,0,11/12,09/13,85963.6171875,FY14,99
SF,31,12 - BLACK/AFRICAN AMER,4,0,08/13,09/13,0,FY14,99
SF,65,12 - BLACK/AFRICAN AMER,2,0,11/13,08/14,30700,FY15,418
RENTAL,54,11 - WHITE,,0,04/14,08/14,13000,FY15,300
RENTAL,54,11 - WHITE,,0,06/14,07/14,475,FY15,851
SF,70,11 - WHITE,3,0,04/13,09/13,12486,FY14,727
SF,67,12 - BLACK/AFRICAN AMER,1,0,01/08,04/08,6985,FY08,497
SF,30,11 - WHITE,2,0,04/09,09/09,12592,FY10,88
SF,45,11 - WHITE,1,0,01/09,02/09,2920,FY09,28
RENTAL,,0 - NON-PROFIT,,0,08/09,07/10,38900,FY11,312
RENTAL,57,11 - WHITE,,0,07/14,10/14,7682,FY15,239
RENTAL,35,12 - BLACK/AFRICAN AMER,,0,04/14,09/14,11070,FY15,120
RENTAL,54,11 - WHITE,,0,04/14,07/14,1865,FY15,422
SF,43,11 - WHITE,3,0,06/14,09/14,27501,FY15,951
RENTAL,62,11 - WHITE,,0,09/14,10/14,8015,FY15,464
RENTAL,54,11 - WHITE,,0,04/14,10/14,10810,FY15,643
RENTAL,62,11 - WHITE,,0,05/14,10/14,8620,FY15,380
SF,65,11 - WHITE,1,0,09/14,10/14,9965,FY15,718
RENTAL,62,11 - WHITE,,0,07/14,10/14,7550,FY15,202
RENTAL,56,11 - WHITE,,0,08/14,10/14,13190,FY15,577
SF,50,11 - WHITE,1,0,04/09,10/09,5200,FY10,172
SF,25,11 - WHITE,1,0,08/09,09/09,0,FY10,59
RENTAL,42,11 - WHITE,0,1,11/08,09/09,24045,FY10,217
RENTAL,61,11 - WHITE,0,0,06/09,10/09,700,FY10,561
RENTAL,36,11 - WHITE,0,1,03/09,09/09,27850,FY10,468
SF,26,11 - WHITE,3,0,07/09,10/09,375,FY10,716
SF,67,11 - WHITE,1,0,07/15,09/15,7865.5,FY16,968
SF,56,11 - WHITE,1,0,02/14,04/14,9245,FY14,622
SF,35,20 - OTHER MULTI-RACIAL,4,0,01/10,02/10,0,FY10,10
SF,34,12 - BLACK/AFRICAN AMER,1,0,11/08,11/08,0,FY09,950
SF,,0 - NON-PROFIT,,0,06/13,12/14,140581,FY15,783
SF,,0 - NON-PROFIT,,0,04/13,03/15,0,FY15,670
SF,26,11 - WHITE,3,0,09/10,09/10,0,FY11,1069
SF,31,11 - WHITE,6,1,08/08,01/09,375,FY09,552
RENTAL,62,11 - WHITE,,0,09/12,11/12,710,FY13,332
SF,31,11 - WHITE,1,0,01/10,02/10,0,FY10,320
SF,24,11 - WHITE,1,0,03/10,04/10,0,FY10,446
SF,30,11 - WHITE,4,0,03/10,05/10,0,FY10,188
SF,22,11 - WHITE,4,0,03/10,03/10,0,FY10,187
SF,,0 - NON-PROFIT,,0,04/13,03/15,0,FY15,672
RENTAL,63,12 - BLACK/AFRICAN AMER,0,1,01/08,01/08,375,FY08,207
SF,31,11 - WHITE,3,0,04/13,04/13,0,FY13,382
SF,59,11 - WHITE,2,0,04/15,06/15,10280,FY15,248
SF,22,11 - WHITE,1,0,05/11,06/11,24980,FY11,29
SF,34,12 - BLACK/AFRICAN AMER,3,0,12/10,06/11,17179,FY11,1078
SF,50,12 - BLACK/AFRICAN AMER,1,0,11/10,06/11,27705,FY11,118
RENTAL,54,12 - BLACK/AFRICAN AMER,,0,02/11,07/11,15845,FY12,503
SF,34,11 - WHITE,5,0,11/10,07/11,36090,FY12,113
SF,43,20 - OTHER MULTI-RACIAL,3,0,05/11,06/11,0,FY11,707
SF,0,0 - NON-PROFIT,0,0,07/13,05/15,172415,FY15,501
SF,41,11 - WHITE,1,0,03/15,06/15,0,FY15,145
SF,56,11 - WHITE,2,0,06/11,12/11,27649,FY12,879
SF,44,11 - WHITE,2,0,09/13,10/13,0,FY14,512
RENTAL,54,11 - WHITE,,0,05/13,09/13,8850,FY14,640
SF,46,11 - WHITE,2,0,08/13,09/13,3879,FY16,50
SF,,0 - NON-PROFIT,,0,05/12,01/13,136059.40625,FY14,867
RENTAL,36,11 - WHITE,0,0,06/09,09/09,7345,FY10,733
RENTAL,49,11 - WHITE,0,1,03/09,09/09,13475,FY10,588
RENTAL,68,11 - WHITE,0,1,11/08,09/09,27125,FY10,181
SF,36,12 - BLACK/AFRICAN AMER,4,0,05/11,06/11,10367,FY11,809
RENTAL,46,11 - WHITE,0,1,12/08,05/09,375,FY09,344
RR,46,11 - WHITE,0,1,12/09,05/09,375,FY09,345
SF,27,18 - BLACK/AF AM & WHITE,1,0,12/09,06/10,22861,FY10,560
SF,32,11 - WHITE,2,0,09/08,04/09,15660,FY09,703
SF,,0 - NON-PROFIT,,0,05/13,10/13,8969.2197265625,FY14,557
SF,26,12 - BLACK/AFRICAN AMER,1,0,05/09,05/09,0,FY09,550
SF,59,11 - WHITE,1,0,05/08,05/09,29351,FY09,973
SF,80,12 - BLACK/AFRICAN AMER,1,0,01/08,05/09,28360,FY09,845
RENTAL,43,11 - WHITE,,1,09/08,05/09,20635,FY09,466
RENTAL,39,11 - WHITE,,0,09/08,05/09,8605,FY09,599
SF,42,13 - ASIAN,7,0,12/13,12/13,0,FY14,983
SF,46,11 - WHITE,2,0,06/10,12/10,21540,FY11,1073
SF,29,11 - WHITE,1,0,06/10,08/11,19688,FY12,890
SF,56,12 - BLACK/AFRICAN AMER,2,0,10/10,07/11,23420,FY12,869
SF,42,20 - OTHER MULTI-RACIAL,4,0,06/11,08/11,240,FY12,454
SF,61,11 - WHITE,1,0,02/11,08/11,25086,FY12,6
RENTAL,68,11 - WHITE,,0,01/11,07/11,12795,FY12,538
RENTAL,67,11 - WHITE,,1,01/11,08/11,20300,FY12,230
SF,39,14 - AMER INDIAN,1,0,07/11,08/11,6400,FY12,335
SF,58,11 - WHITE,2,0,02/10,12/10,30910,FY11,318
SF,45,12 - BLACK/AFRICAN AMER,1,0,10/09,10/09,0,FY10,846
SF,25,12 - BLACK/AFRICAN AMER,1,0,08/09,08/09,0,FY10,866
SF,25,11 - WHITE,1,0,01/10,11/10,25177,FY11,60
RENTAL,50,12 - BLACK/AFRICAN AMER,0,1,07/09,11/09,13900,FY10,221
RENTAL,,11 - WHITE,0,0,05/08,06/08,675,FY08,346
RENTAL,,11 - WHITE,0,1,05/08,08/10,6698,FY11,578
RENTAL,,11 - WHITE,0,0,05/09,06/09,375,FY09,367
SF,36,11 - WHITE,4,0,04/09,06/09,15120,FY09,151
SF,51,11 - WHITE,5,0,04/09,06/09,3920,FY09,764
SF,36,11 - WHITE,4,0,08/07,10/07,25925,FY08,36
RENTAL,33,11 - WHITE,0,0,07/08,10/08,920,FY09,149
SF,44,11 - WHITE,3,0,10/08,10/08,0,FY09,747
RENTAL,37,11 - WHITE,0,1,05/08,10/08,375,FY09,565
